CostCenterCategoryCode;CostCenterCategoryName;CostCenterCategorySeqNo;CostCenterCode;CostCenterName;;;;;;
EQ;Equity;10;EQ;Equity;SELECT;'EQ',;'Equity',;10;'EQ',;'Equity'
EQ;Equity;10;EQ_NL;Equity Dutch Branch PAB;UNION ALL SELECT ;'EQ',;'Equity',;10;'EQ_NL',;'Equity Dutch Branch PAB'
EQ;Equity;10;OPP;Opportunity;UNION ALL SELECT ;'EQ',;'Equity',;10;'OPP',;'Opportunity'
INFRA;Infrastructure;20;INFRA;Infrastructure;UNION ALL SELECT ;'INFRA',;'Infrastructure',;20;'INFRA',;'Infrastructure'
RE;Real Estate;30;RE;Real Estate Infrastructure;UNION ALL SELECT ;'RE',;'Real Estate',;30;'RE',;'Real Estate Infrastructure'
MM;MM EU;40;MM;Mid Market Europe;UNION ALL SELECT ;'MM',;'MM EU',;40;'MM',;'Mid Market Europe'
MM_US;MM US;50;MM_US;Mid Market US;UNION ALL SELECT ;'MM_US',;'MM US',;50;'MM_US',;'Mid Market US'
MM_ASIA;MM Asia;60;MM_ASIA;Mid Market Asia;UNION ALL SELECT ;'MM_ASIA',;'MM Asia',;60;'MM_ASIA',;'Mid Market Asia'
DEBT;Credit;70;DEBT;Credit;UNION ALL SELECT ;'DEBT',;'Credit',;70;'DEBT',;'Credit'
DEBT;Credit;70;MM_CREDIT;MM_CREDIT;UNION ALL SELECT ;'DEBT',;'Credit',;70;'MM_CREDIT',;'MM_CREDIT'
HYBRID;Ventures;80;HYBRID;Ventures;UNION ALL SELECT ;'HYBRID',;'Ventures',;80;'HYBRID',;'Ventures'
OTHER;Other;9999;-1;N/A;UNION ALL SELECT ;'OTHER',;'Other',;9999;'-1',;'N/A'
OTHER;Other;9999;HYBRID_NL;Hybrid Dutch Branch PAB;UNION ALL SELECT ;'OTHER',;'Other',;9999;'HYBRID_NL',;'Hybrid Dutch Branch PAB'
OTHER;Other;9999;INFRA_ES;Infra Spanish Branch PAB;UNION ALL SELECT ;'OTHER',;'Other',;9999;'INFRA_ES',;'Infra Spanish Branch PAB'
OTHER;Other;9999;INFRA_NL;Infra Dutch Branch PAB;UNION ALL SELECT ;'OTHER',;'Other',;9999;'INFRA_NL',;'Infra Dutch Branch PAB'
OTHER;Other;9999;RE_FR;Real Estate French Branch PAB;UNION ALL SELECT ;'OTHER',;'Other',;9999;'RE_FR',;'Real Estate French Branch PAB'
OTHER;Other;9999;BOS;Business Operation Support;UNION ALL SELECT ;'OTHER',;'Other',;9999;'BOS',;'Business Operation Support'
OTHER;Other;9999;BUFFER;BUFFER;UNION ALL SELECT ;'OTHER',;'Other',;9999;'BUFFER',;'BUFFER'
OTHER;Other;9999;EL_IC;EL_IC;UNION ALL SELECT ;'OTHER',;'Other',;9999;'EL_IC',;'EL_IC'
OTHER;Other;9999;FOF;Fund of Funds;UNION ALL SELECT ;'OTHER',;'Other',;9999;'FOF',;'Fund of Funds'
OTHER;Other;9999;CORE;Core Infrastructure;UNION ALL SELECT ;'OTHER',;'Other',;9999;'CORE',;'Core Infrastructure'
